item_id,item_id.1,HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timestamp
0,0.0,4364.0,1388.0,550.0,160.0,634.0,49.0,674.0,979.0,119.0,20.0,2023-03-01 00:08:00
20,0.487804878,4373.756098,1412.390244,551.9512195,159.5121951,635.9512195,51.43902439,700.8292683,931.6829268,119.9756098,20.97560976,2023-03-01 00:28:00
40,0.975609756,4383.512195,1436.780488,553.902439,159.0243902,637.902439,53.87804878,727.6585366,884.3658537,120.9512195,21.95121951,2023-03-01 00:48:00
60,1.475,4387.325,1394.775,549.25,159.0,634.675,52.1,704.775,961.325,119.575,22.95,2023-03-01 01:08:00
80,1.975,4390.825,1349.275,544.25,159.0,631.175,50.1,679.275,1044.825,118.075,23.95,2023-03-01 01:28:00
100,2.463414634,4548.560976,1388.707317,548.6341463,159.0,629.1463415,50.46341463,790.1463415,1049.0,118.4634146,24.46341463,2023-03-01 01:48:00
120,2.951219512,4714.414634,1432.609756,553.5121951,159.0,627.195122,50.95121951,908.195122,1049.0,118.9512195,24.95121951,2023-03-01 02:08:00
140,3.43902439,4714.756098,1438.317073,553.5609756,159.0,627.4390244,49.24390244,897.6097561,1055.146341,119.4390244,23.24390244,2023-03-01 02:28:00
160,3.926829268,4696.707317,1439.780488,553.0731707,159.0,627.9268293,47.29268293,872.7317073,1061.97561,119.9268293,21.29268293,2023-03-01 02:48:00
180,4.377777778,4374.4,1312.311111,549.9777778,159.0,625.3555556,48.88888889,756.8,988.2,120.7555556,21.0,2023-03-01 03:08:00
200,4.822222222,3998.4,1162.088889,546.4222222,159.0,622.2444444,51.11111111,624.8,900.2,121.6444444,21.0,2023-03-01 03:28:00
220,5.292682927,4150.04878,1216.439024,547.3414634,159.0,624.5121951,52.0,702.2439024,917.097561,121.1219512,21.29268293,2023-03-01 03:48:00
240,5.780487805,4653.463415,1407.170732,551.2439024,159.0,630.3658537,52.0,919.3170732,1003.926829,119.6585366,21.7804878,2023-03-01 04:08:00
260,6.261904762,4757.428571,1445.333333,550.6428571,158.2142857,632.7380952,50.95238095,939.4761905,1048.5,119.0,21.73809524,2023-03-01 04:28:00
280,6.738095238,4534.571429,1358.666667,546.3571429,156.7857143,632.2619048,49.04761905,798.5238095,1058.5,119.0,21.26190476,2023-03-01 04:48:00
300,7.230769231,4380.846154,1290.230769,544.4615385,156.0,631.3076923,47.53846154,733.6923077,1042.307692,118.7692308,20.07692308,2023-03-01 05:08:00
320,7.743589744,4311.615385,1244.076923,545.4871795,156.0,629.7692308,46.51282051,761.8974359,994.1025641,118.2564103,18.02564103,2023-03-01 05:28:00
340,8.714285714,4744.142857,1425.285714,546.7142857,156.0,628.2857143,46.71428571,1013.857143,995.0,118.0,17.0,2023-03-01 05:48:00
360,10.33333333,4589.333333,1381.333333,547.6666667,157.0,629.0,46.0,874.6666667,1022.333333,117.0,17.33333333,2023-03-01 06:08:00
380,12.0,4596.0,1436.0,550.0,157.0,626.0,46.0,807.0,1043.0,115.0,19.0,2023-03-01 06:28:00
400,13.83333333,4626.666667,1437.833333,548.3333333,157.8333333,604.5,45.0,879.1666667,1023.833333,114.1666667,18.83333333,2023-03-01 06:48:00
420,15.28,4443.48,1254.0,602.84,159.0,672.36,50.84,788.76,994.08,111.16,20.28,2023-03-01 07:08:00
440,16.125,4690.125,1272.125,741.125,159.375,701.5,53.0,841.125,1007.125,108.5,18.625,2023-03-01 07:28:00
460,17.18181818,4739.090909,1164.090909,983.8181818,186.1818182,790.4545455,53.72727273,807.0909091,888.0909091,103.5454545,2.0,2023-03-01 07:48:00
480,17.78787879,4876.060606,801.0606061,1556.545455,266.7878788,1028.636364,56.15151515,597.3939394,791.7272727,98.6969697,2.0,2023-03-01 08:08:00
500,19.0,5006.0,630.0,1939.0,322.0,1308.0,79.0,374.0,667.0,86.0,2.0,2023-03-01 08:28:00
520,20.4,5024.2,582.0,2016.6,354.0,1321.4,86.2,368.0,648.0,86.2,2.0,2023-03-01 08:48:00
540,21.78571429,4976.214286,563.0714286,2037.642857,332.3571429,1339.857143,93.71428571,354.7142857,589.3571429,89.57142857,2.0,2023-03-01 09:08:00
560,23.14814815,5004.703704,538.7037037,2095.703704,360.7777778,1365.148148,87.03703704,354.8148148,557.4074074,90.92592593,2.0,2023-03-01 09:28:00
580,23.88888889,4903.222222,477.2222222,2234.222222,369.6666667,1385.888889,92.22222222,268.8888889,454.4444444,80.55555556,2.0,2023-03-01 09:48:00
600,25.16666667,4988.833333,525.1666667,2367.5,395.6666667,1325.5,80.16666667,142.8333333,550.3333333,74.66666667,2.833333333,2023-03-01 10:08:00
620,26.76923077,5003.384615,529.8461538,2407.307692,402.4615385,1339.923077,72.15384615,128.1538462,523.5384615,72.61538462,2.0,2023-03-01 10:28:00
640,28.41666667,4945.083333,505.5833333,2351.333333,396.3333333,1356.75,68.41666667,115.5833333,542.8333333,71.0,2.0,2023-03-01 10:48:00
660,30.07692308,4953.615385,561.0769231,2304.307692,360.2307692,1347.0,68.0,115.0769231,555.0769231,68.92307692,2.153846154,2023-03-01 11:08:00
680,31.53333333,4993.266667,597.4666667,2291.2,403.8,1216.6,65.33333333,125.0666667,688.2666667,70.66666667,4.0,2023-03-01 11:28:00
700,32.76470588,4845.941176,1157.117647,1531.941176,304.0,981.0,63.0,277.5294118,811.4117647,79.88235294,7.058823529,2023-03-01 11:48:00
720,34.0,5011.0,1318.0,1337.0,272.0,912.0,60.0,474.0,877.0,81.0,12.0,2023-03-01 12:08:00
