item_id,HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timestamp
0,4364,1388,550,160,634,49,674,979,119,20,2023/3/1 0:00
60,4387.325,1394.775,549.25,159,634.675,52.1,704.775,961.325,119.575,22.95,2023/3/1 1:00
120,4714.414634,1432.609756,553.5121951,159,627.195122,50.95121951,908.195122,1049,118.9512195,24.95121951,2023/3/1 2:00
180,4374.4,1312.311111,549.9777778,159,625.3555556,48.88888889,756.8,988.2,120.7555556,21,2023/3/1 3:00
240,4653.463415,1407.170732,551.2439024,159,630.3658537,52,919.3170732,1003.926829,119.6585366,21.7804878,2023/3/1 4:00
300,4380.846154,1290.230769,544.4615385,156,631.3076923,47.53846154,733.6923077,1042.307692,118.7692308,20.07692308,2023/3/1 5:00
360,4589.333333,1381.333333,547.6666667,157,629,46,874.6666667,1022.333333,117,17.33333333,2023/3/1 6:00
420,4443.48,1254,602.84,159,672.36,50.84,788.76,994.08,111.16,20.28,2023/3/1 7:00
480,4876.060606,801.0606061,1556.545455,266.7878788,1028.636364,56.15151515,597.3939394,791.7272727,98.6969697,2,2023/3/1 8:00
540,4976.214286,563.0714286,2037.642857,332.3571429,1339.857143,93.71428571,354.7142857,589.3571429,89.57142857,2,2023/3/1 9:00
600,4988.833333,525.1666667,2367.5,395.6666667,1325.5,80.16666667,142.8333333,550.3333333,74.66666667,2.833333333,2023/3/1 10:00
660,4953.615385,561.0769231,2304.307692,360.2307692,1347,68,115.0769231,555.0769231,68.92307692,2.153846154,2023/3/1 11:00
720,5011,1318,1337,272,912,60,474,877,81,12,2023/3/1 12:00
780,4453.153846,1251.846154,997.9230769,196.8461538,786.2307692,80.61538462,511.8461538,799.7692308,93.23076923,12.30769231,2023/3/1 13:00
840,4850.333333,1262.133333,1290.2,255.2666667,878.2666667,87.8,710.8,597.0666667,98.86666667,13,2023/3/1 14:00
900,4666,1130.285714,1227,249.2857143,809.1428571,70,836.8571429,563.1428571,86.42857143,13.14285714,2023/3/1 15:00
960,4845.733333,1064.333333,1297.4,243.6666667,761.9333333,77.26666667,842.3333333,768.6666667,95.06666667,16,2023/3/1 16:00
1020,4637,1182,1063,229,675,61,836,752,108,21,2023/3/1 17:00
1080,4667.506173,1134.012346,961.5308642,209.5925926,715.691358,58.25925926,869.2962963,856.2345679,111.3333333,19.40740741,2023/3/1 18:00
1140,4348.246914,795.4938272,1225.234568,220.7037037,838.654321,89.37037037,664.8518519,724.382716,91.33333333,8.296296296,2023/3/1 19:00
1200,4505.285714,998.5714286,1152.571429,216.4285714,763.1428571,84,763.1428571,725.7142857,94.85714286,7.285714286,2023/3/1 20:00
1260,4982,1274.125,850.875,205.875,688.875,89.5,1195.375,856.875,96.75,19.125,2023/3/1 21:00
1320,4488.307692,1369.461538,693.9230769,198.9230769,649.9230769,72,796.6923077,849.4615385,103.1538462,25.69230769,2023/3/1 22:00
1380,4700.702128,1367.191489,606.5319149,177.6808511,669.893617,74.14893617,1009.553191,914.3191489,103.9361702,29.27659574,2023/3/1 23:00
1440,4329,1340.666667,555.1666667,157.1666667,679.1666667,80.83333333,718.6666667,897.3333333,105.8333333,32.16666667,2023/3/2 0:00
1500,4303.982418,1305.18022,594.8989011,155.3428571,690.9824176,81.89230769,703.0505495,876.4593407,104.7252747,28.68571429,2023/3/2 1:00
1560,4316.378022,1268.125275,636.1736264,153.6285714,703.378022,82.81538462,712.4131868,867.6241758,103.4065934,25.25714286,2023/3/2 2:00
